Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos
"#FreePalaestine #PrayForPalestine  #Gaza_Genocide""",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
" #StandWithPalestine  We mourn the loss of many brothers and sisters to acts of terrorism. Together, let's strive for peace and justice. 
Do you know who the real terrorists are?   Everyone know them Occupier
#PrayForPalestine #EndViolence ",,,0.30976915882963885,0.42066103680487343,0.2695698043654876
"In Jakarta, people are enthusiastic about #PrayForPalestine",,,0.23064815854491497,0.44270048098062653,0.32665136047445853
This is Reality.    #PrayForPalestine,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Local sources
Armed clashes broke out around the Balata camp, east of Nablus. #prayforpalestine #GazaGenoside #IsraelTerorrist #IsraelNewNazisim",,,0.25777491961229876,0.5201341710541829,0.22209090933351838
"Written on our college whiteboard 
#FreePalaestine #PrayForPalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Palestinians valiantly stand for their faith and strive to protect Islam, reaching out their hand for our crucial support.


#PrayforPalestine 
#Palestine #Gaza #PrayForPalestine",,,0.23214041832185953,0.4141973039815559,0.3536622776965845
"O Allah, strengthen the defense of the Palestinian fighters against their enemies (Zionist Israel and its allies).

O Allah, help the Palestinian fighters and grant them victory over their enemies.",,,0.29855356669264066,0.4013963606340233,0.30005007267333605
"#WeStandWithPalestine #FreePalestine #PrayForPalestine""",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Listening to this 

#FreePalaestin #FreePalaestine #FreePalestineFormZionist #PrayForGaza #PrayForPalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
" Heartbreaking to see the destruction in Palestine. Let's stand together and pray for peace, justice, and support for the affected. May Allah bring relief to those in need.  #PrayForPalestine #PeaceAndJustice
 #Gaza_Geniocide 
#CeasefireInGazaNOW 
#Survivor",,,0.28069964936935676,0.3967416186777536,0.32255873195288964
#freepalestian ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"#PrayForPalestine""",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Oh Palestine, you are in our hearts and prayers. ""Our Lord, pour upon us patience and plant firmly our feet and give us victory over the disbelieving people."" Quran, 2:250 #FreePalestine #SaveGaza #PrayForPalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"This is an example of how to destroy your life in a blink of eyes.

May Allah help them 

#PrayForPalestine  https://twitter.com/missfalasteenia/status/1723095857984049381â¦",,,0.2640029715881903,0.4805639735541479,0.25543305485766177
"The last hug
from the river to the sea,Palestine will be free

Free free Palestine free free plaestine 

#palestine #freepalestine #istandwithpalestine #freepalestine #istandwithpalestine #palestinewillbefree #palestineunderattack #prayforpalestine #gaza #gazaunderattack",,,0.2326214767818591,0.394813131978897,0.3725653912392439
"A man is seen pulling a cart to transfer injuries to hospital in khan Younis, southern Gaza city. 5.11.23 
#freepalestine #freepalestine #gaza #palestine #freegaza #prayforgaza #prayforpalestine #savegaza #staywithpalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#gaza #PrayForPalestine #FreePalestine #FreePalestin #motaz_azaiza #GazaHolocaust #Gaza_Geniocide #Ø£Ø¨ÙØ¹Ø¨ÙØ¯Ø© #Ø§ÙØ§ØªØ­Ø§Ø¯_Ø§Ø¨ÙØ§ #Trending,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
Don't stop talking about PALESTINE #palestinegenocide #freepalestine #palestinewillbefree #prayforpalestine,,,0.22441044073250027,0.5039498201371144,0.2716397391303852
"More than two million Indonesians gathered at Monas,Jakarta this morning to pray together and show their support for Palestine.
Presiden Joko Widodo
#SavePalestine
#HelpPalestine
#PrayForPalestine
#WeStandWithPalestine",,,0.22339307399398095,0.511287923929854,0.26531900207616504
"CALL FOR CEASEFIRE NOW
#ceasefirenow #PrayForPalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
This is Indonesia for PALESTINE #savepalestine #indonesiastandwithpalestine #palestinewillbefree #PrayForPalestine #palestinevictory,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#stopgenocide #stopkillingkids #prayforpalestine #freepalestine  From Indonesia ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"The Alkhidmat Foundation Woman Wing is endeavoring to provide essential supplies to the people of Gaza.

#PrayforPalestine 
#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"May Allah swt send His Greatest help to the people of #Gaza. May Allah swt grant victory to the #Palestineans, May Allah swt protects all of you. Aamiin ya Rabbal Alamiin #prayforGaza #prayforPalestine #FreePalestine #CeaseFireInGaza #CeasefireNOW #solidaritywithpalestine",,,0.22772432660991243,0.47634186660364886,0.29593380678643877
"Good morning. May Allah bless you with health and prosperity on this day.#Azaan #Prayer #Namaz #Muslims #PrayForPalestine #PrayForGazan #gaza #bycottIsrealProducts #bycott_isreal_products #bycott #bycottmacdonald #ALQuran
#Hadees Nabvi
#Farman_E_Ilahi
#urdu #",,,0.22382795398365143,0.5082013331550914,0.26797071286125707
